field: text
field: user/screen_name
field: user/name
field: user/id
  >>>   text: "KICKASS Wenchie! RT @TheBeerWench: //Top 20 BEER Personalities on TWITTER\\\\ http://bit.ly/CiTUn #avlbeer #craftbeer #robots"
  >>>   user/name: "bruisinales"
  >>>   unixtime: 1257434990211
  >>>   user/id: 16552513
  >>>   user/screen_name: "bruisinales"

  >>>   text: "@cribble Super. Good plan. We can all bang our heads together and hope some good ideas fall out into our beer."
  >>>   user/name: "Louis Clark"
  >>>   unixtime: 1257434994337
  >>>   user/id: 49978361
  >>>   user/screen_name: "louis_a_clark"

  >>>   text: "Get down early tonight for the best view of the fireworks display from our award-winning beer garden."
  >>>   user/name: "West Brewery"
  >>>   unixtime: 1257434995521
  >>>   user/id: 84078727
  >>>   user/screen_name: "Westbeer"

  >>>   text: "@BeerUniverse If God had intended us to drink beer, he would have given us stomachs. -David Daye #beer"
  >>>   user/name: "Bob Massey"
  >>>   unixtime: 1257434996279
  >>>   user/id: 16316275
  >>>   user/screen_name: "southbob"

  >>>   text: "Of course with that reasoning I could probably also have a beer or whiskey for breakfast... Except that I'm pregnant."
  >>>   user/name: "Spring McManus"
  >>>   unixtime: 1257434999722
  >>>   user/id: 16256117
  >>>   user/screen_name: "spotzle"

  >>>   text: "Finish drinking. Now I feel better. I love beer"
  >>>   user/name: "SmallEe"
  >>>   unixtime: 1257435003038
  >>>   user/id: 47577232
  >>>   user/screen_name: "smallee_1002"

  >>>   text: "RT @eojthebrave Drupal happy hour at Luce tonight. 5:30. Don't have to be a coder to come, only req. is interest in Drupal/beer."
  >>>   user/name: "Jake Bell"
  >>>   unixtime: 1257435019885
  >>>   user/id: 52753080
  >>>   user/screen_name: "theunraveler"

  >>>   text: "@alejandrapardo vienes chiquitooo! Q tengas feliz dia ale! :)"
  >>>   user/name: "Eduardo Vasquez"
  >>>   unixtime: 1257435025518
  >>>   user/id: 26083441
  >>>   user/screen_name: "Duoeduardo"

  >>>   text: "@TheArtofBeer @newbrewthursday Not a pilsner fan, so I didn't like Juxtaposition.  Now the Kona/Macadamia/Coconut.... that's just amazing!"
  >>>   user/name: "Jay Price"
  >>>   unixtime: 1257435031455
  >>>   user/id: 14354955
  >>>   user/screen_name: "nocturne1"

  >>>   text: "@Alexandra_113 Teraz t\u0119sknie jeszcze bardziej. P\u0142akam ;(\nI Kocham Ci\u0119 Jeszcze Bardziej ni\u017c Wczoraj, ni\u017c dzisiaj &lt;33\nAle mniej ni\u017c jutro. &lt;33"
  >>>   user/name: "Justyna"
  >>>   unixtime: 1257435033825
  >>>   user/id: 73451155
  >>>   user/screen_name: "JadziaaaxD"

  >>>   text: "Tax cigarettes and beer (again)."
  >>>   user/name: "Robert R. Oram"
  >>>   unixtime: 1257435033945
  >>>   user/id: 81013346
  >>>   user/screen_name: "OramRobert"

  >>>   text: "@TylerAndersonnn yeah dude that's the way to go now a days.if I see you eating beer battered cheese puffs,ill kill you."
  >>>   user/name: "Jose Chaves"
  >>>   unixtime: 1257435039943
  >>>   user/id: 27103251
  >>>   user/screen_name: "woahwoahjose"

  >>>   text: "@Dr_Jez Now u gotta come here if only 2 c us n get a decent beer LOL"
  >>>   user/name: "Sandy Scherger"
  >>>   unixtime: 1257435043419
  >>>   user/id: 41572186
  >>>   user/screen_name: "Sandy011"

  >>>   text: "Beer before liquar more sicker,liquar before beer no fear."
  >>>   user/name: "greg sutler"
  >>>   unixtime: 1257435055410
  >>>   user/id: 45764892
  >>>   user/screen_name: "gregsutler"

  >>>   text: "@DrRickClayton No worries. I guess beer and banana slugs don't mix. ;-)"
  >>>   user/name: "Greg  Durbin"
  >>>   unixtime: 1257435055897
  >>>   user/id: 13401052
  >>>   user/screen_name: "GregKnottLeMond"

  >>>   text: "RT @theguyexpoTX The Guy Expo this weekend! Beer~Hooters~Astros~Rockets~Texans~Aeros~Dynamo~Energy~laser tag~boxing~MMA~cars http://ow.ly.."
  >>>   user/name: "Frank Olivia"
  >>>   unixtime: 1257435064083
  >>>   user/id: 84441405
  >>>   user/screen_name: "magicslippers2"

  >>>   text: "RT @leximaven Nice! Credit Card Survival Tool: Screws, Saws, Opens Your #Beer: http://tinyurl.com/yz7y3rr"
  >>>   user/name: "Frank Olivia"
  >>>   unixtime: 1257435066671
  >>>   user/id: 84441405
  >>>   user/screen_name: "magicslippers2"

  >>>   text: "RT @ltshaw711: Beer Summit Harvest fest is this Saturday in Boston http://is.gd/4NSy2"
  >>>   user/name: "beerobserver"
  >>>   unixtime: 1257435067188
  >>>   user/id: 16981321
  >>>   user/screen_name: "beerobserver"

  >>>   text: "is there Beer in heaven?"
  >>>   user/name: "JuLie Price"
  >>>   unixtime: 1257435067554
  >>>   user/id: 65098778
  >>>   user/screen_name: "JuLiePrice20"

  >>>   text: "Nesn\u00e1\u0161im \u010dtvrtky. Sice jsem doma je\u0161t\u011b za sv\u011btla, ale nem\u00e1m u\u017e s\u00edlu d\u011blat n\u011bco u\u017eite\u010dn\u00e9ho... tak aspo\u0148 p\u016fjdu recenzovat (Sony VAIO CW)."
  >>>   user/name: "diagon_swarm"
  >>>   unixtime: 1257435068427
  >>>   user/id: 16200514
  >>>   user/screen_name: "diagon_swarm"

  >>>   text: "RT @ideafield Thanks to the 25 folks who RSVP&apos;d yes to our event with Neenah papers tonight - see you there! 1st beer opens at 6pm."
  >>>   user/name: "Frank Olivia"
  >>>   unixtime: 1257435070326
  >>>   user/id: 84441405
  >>>   user/screen_name: "magicslippers2"

  >>>   text: "RT @FlyAArmy @jetstream1981 Will u still like me if I say I tried Guiness &amp; I didn&apos;t like it?? I&apos;m not sure I like a Beer y.."
  >>>   user/name: "Frank Olivia"
  >>>   unixtime: 1257435072274
  >>>   user/id: 84441405
  >>>   user/screen_name: "magicslippers2"

  >>>   text: "Tonight @alehouse The Acoustix 7pm #Karaoke 10pm 2 for 1 pints of @LouiesDemise @FlamingDamsel @PullChain and all our beer all night long"
  >>>   user/name: "Dana John Nielsen"
  >>>   unixtime: 1257435072501
  >>>   user/id: 15370668
  >>>   user/screen_name: "MKEAleMusic"

  >>>   text: "RT @Westbeer Get down early tonight for the best view of the fireworks display from our award-winning beer garden."
  >>>   user/name: "Frank Olivia"
  >>>   unixtime: 1257435073882
  >>>   user/id: 84441405
  >>>   user/screen_name: "magicslippers2"

  >>>   text: "Beer, beer, beer, beer, beer."
  >>>   user/name: "Zeca Chaves"
  >>>   unixtime: 1257435081558
  >>>   user/id: 27818432
  >>>   user/screen_name: "Zecachaves"

  >>>   text: "What Your Taste in Beer Says About You http://is.gd/4NXgI"
  >>>   user/name: "Sarah Wood"
  >>>   unixtime: 1257435087215
  >>>   user/id: 14453908
  >>>   user/screen_name: "hidama"

  >>>   text: "Grappige quiz over het brein. #mixm09 we missen de moonwalkende beer."
  >>>   user/name: "Michael Hendriks"
  >>>   unixtime: 1257435089401
  >>>   user/id: 16578365
  >>>   user/screen_name: "michaelhendriks"

  >>>   text: "@Huny_Bun Consisting of all liquor and beer bottles! Probably not as good as Bergdorfs but we can still try:))) Can't wait to see you later!"
  >>>   user/name: "Lauren Webb"
  >>>   unixtime: 1257435092426
  >>>   user/id: 48495695
  >>>   user/screen_name: "MissLaurenWebb"

  >>>   text: "I now have enough free sample of Starbucks instant coffee (Ready Brew! \u00ae)  to open my own instant coffee store. I"
  >>>   user/name: "Harry Hunsicker"
  >>>   unixtime: 1257435094076
  >>>   user/id: 30317113
  >>>   user/screen_name: "harryhunsicker"

  >>>   text: "@RobHicks price of entry is beer. I'll fb my address"
  >>>   user/name: "Tom Meadowcroft"
  >>>   unixtime: 1257435096740
  >>>   user/id: 29563341
  >>>   user/screen_name: "Tomo_foolery"

  >>>   text: "@MykeNorten NYC? If at any point you need someone to buy you a beer, drop a line."
  >>>   user/name: "joecool57h"
  >>>   unixtime: 1257435108860
  >>>   user/id: 16571886
  >>>   user/screen_name: "joecool57h"

  >>>   text: "@__theBELIEVER Good aftenoon Ale :D How are you?"
  >>>   user/name: "Alex \u25b2 \u20aa \u00f8 lll \u00b7o. "
  >>>   unixtime: 1257435110419
  >>>   user/id: 61268038
  >>>   user/screen_name: "MarsAlex"

  >>>   text: "nice little new york times article from 22 years ago. The American beer market has come a long way since then.  http://bit.ly/4odGEC"
  >>>   user/name: "Barrelhouse Brooklyn"
  >>>   unixtime: 1257435110553
  >>>   user/id: 83510063
  >>>   user/screen_name: "barrelhousebk"

  >>>   text: "Where I got my brew this morning. \u2014 at New Wave Coffee http://gowal.la/s/pH6"
  >>>   user/name: "Derek Moore"
  >>>   unixtime: 1257435112424
  >>>   user/id: 14585720
  >>>   user/screen_name: "dsmoore"

  >>>   text: "RT @roybragg: 100 bottles of beer on the ground. Bottle rockets and Shiner Beer, with video. At Large: http://bit.ly/hx86x"
  >>>   user/name: "mySA"
  >>>   unixtime: 1257435113987
  >>>   user/id: 9830752
  >>>   user/screen_name: "mySA"

  >>>   text: "wtf! I just wanna go home.Ok, actually I wanna drink a fuckin' beer."
  >>>   user/name: "ewerson mamede"
  >>>   unixtime: 1257435133027
  >>>   user/id: 26676442
  >>>   user/screen_name: "ewersonmamede"

  >>>   text: "Here's the link to Boston Beer Festival Steve sorry http://www.beersummit.com/"
  >>>   user/name: "Skip Bensley"
  >>>   unixtime: 1257435139393
  >>>   user/id: 15250808
  >>>   user/screen_name: "BrilliantVideo"

  >>>   text: "The Morning Brew: Thursday, 11.5 http://bit.ly/2Ht2tF"
  >>>   user/name: "Gut Check"
  >>>   unixtime: 1257435141129
  >>>   user/id: 23115514
  >>>   user/screen_name: "gutcheckstl"

  >>>   text: "Get this...I got up early enough today to do some Wii Fit exercises AND brew my own coffee. No Starbucks run for me today!"
  >>>   user/name: "Nick Holmes"
  >>>   unixtime: 1257435143628
  >>>   user/id: 28226877
  >>>   user/screen_name: "nickwholmes"

  >>>   text: "My trusty #include &lt;beer.h&gt; glass just cracked. That has been my trusty water class at 4 jobs, almost a decade old.  Moment of silence."
  >>>   user/name: "Th. 'cmdln' Gideon"
  >>>   unixtime: 1257435147733
  >>>   user/id: 3442281
  >>>   user/screen_name: "cmdln"

  >>>   text: "Hold On! Ale ha gi\u00e0 filamato qualcosa con Dave e Mauro Luned\u00ec... E' arrivato ora con un clip pronto da mettere On Line alla mia scrivania!"
  >>>   user/name: "Blast! Distribution"
  >>>   unixtime: 1257435149337
  >>>   user/id: 32375786
  >>>   user/screen_name: "Blastdist"

  >>>   text: "Yeap I was beer before vodka n redbull vodka n cranberry vodka n oj"
  >>>   user/name: "greg sutler"
  >>>   unixtime: 1257435151175
  >>>   user/id: 45764892
  >>>   user/screen_name: "gregsutler"

  >>>   text: "Listening to the second jolly pumpkin podcast... Does anyone know where to get jolly pumpkin beer in Tennessee?"
  >>>   user/name: "Jeff Boshers"
  >>>   unixtime: 1257435153972
  >>>   user/id: 19167402
  >>>   user/screen_name: "boundbystars"

  >>>   text: "Was @tacomac Prado last night. Up your Kilt and Laughing Skull for everyone! Place is like Disney Land of Beer"
  >>>   user/name: "red brick"
  >>>   unixtime: 1257435154169
  >>>   user/id: 20994137
  >>>   user/screen_name: "redbrickale"

  >>>   text: "San Diego Beer Week kicking off tomorrow http://bit.ly/1pMgSj @sdbeerweek"
  >>>   user/name: "DRAFT Magazine: Beer"
  >>>   unixtime: 1257435173822
  >>>   user/id: 15673837
  >>>   user/screen_name: "draftmag"

  >>>   text: "Calvinus #beer http://bit.ly/2VXWKx"
  >>>   user/name: "Pete LaVerghetta"
  >>>   unixtime: 1257435181265
  >>>   user/id: 14891932
  >>>   user/screen_name: "fixgear"

  >>>   text: "RT @jrfinger: Jayson Werth to teammates after the game over a final post-game beer: \"Only 97 days until spring training.\""
  >>>   user/name: "Peter Landt"
  >>>   unixtime: 1257435181275
  >>>   user/id: 16424059
  >>>   user/screen_name: "peterlandt"

  >>>   text: "Hang with Scott Sullivan at the 5-course beer dinner! http://bit.ly/2xr7Pd"
  >>>   user/name: "Wine Shop at Acorn"
  >>>   unixtime: 1257435192863
  >>>   user/id: 45992802
  >>>   user/screen_name: "acornwineshop"

  >>>   text: "Zamordyzm wsz\u0119dzie, ale nie u nas! http://bit.ly/1lK1XK"
  >>>   user/name: "SpieprzajDziadu.com"
  >>>   unixtime: 1257435193505
  >>>   user/id: 48985562
  >>>   user/screen_name: "spieprzajdziadu"

  >>>   text: "RT @LabSpaces Does green tea prevent cancer? Evidence continues to brew, but questions remain - http://tinyurl.com/yby4src"
  >>>   user/name: "Cindy Jones"
  >>>   unixtime: 1257435194160
  >>>   user/id: 19430213
  >>>   user/screen_name: "Sagescript"

  >>>   text: "Wah wahh wahh.. RT @jimzky: Okay.. One more bottles of beer please.. Huhuhuhuhu.. :p"
  >>>   user/name: "Jney"
  >>>   unixtime: 1257435197600
  >>>   user/id: 51992801
  >>>   user/screen_name: "sijenje"

  >>>   text: "@Brunacmg \"Ale cuida da sua VIDA \"  coloca o cavalinho mesmo!\nessa maguou! :(  :(  vou entrar em uma depre\u00e7\u00e3o!:(@thiiieobom"
  >>>   user/name: "Alex Byther"
  >>>   unixtime: 1257435208286
  >>>   user/id: 66977723
  >>>   user/screen_name: "alexbyther"

  >>>   text: "A.M. commute: Nothing tells a story quite like an enormous smashed pumpkin in a puddle next to a huge can of Natural Ice beer."
  >>>   user/name: "Kristin Currier"
  >>>   unixtime: 1257435210162
  >>>   user/id: 15960252
  >>>   user/screen_name: "kristincurrier"

  >>>   text: "Happy Thursday Killarney friends. FREE beer Thrus with select entrees.& don't forget $5 select sandwiches still going for our fans til Fri"
  >>>   user/name: "Denise Munson"
  >>>   unixtime: 1257435211318
  >>>   user/id: 78064108
  >>>   user/screen_name: "TemeculaPub"

  >>>   text: "Happy Thursday Killarney friends. FREE beer Thrus with select entrees.& don't forget $5 select sandwiches still going for our fans til Fri"
  >>>   user/name: "Denise Munson"
  >>>   unixtime: 1257435211452
  >>>   user/id: 67547538
  >>>   user/screen_name: "PubKillarneys"

  >>>   text: "I now have enough free samples of Starbucks instant coffee (Ready Brew! \u00ae) to open my own coffee store.  Next to a Starbucks of course."
  >>>   user/name: "Harry Hunsicker"
  >>>   unixtime: 1257435212116
  >>>   user/id: 30317113
  >>>   user/screen_name: "harryhunsicker"

  >>>   text: "Happy Thursday Killarney friends. FREE beer Thrus with select entrees.& don&#39;t forget $5 select sandwiches still ... http://lnk.ms/2vb1c"
  >>>   user/name: "Denise Munson"
  >>>   unixtime: 1257435212481
  >>>   user/id: 67547538
  >>>   user/screen_name: "PubKillarneys"

  >>>   text: "Great Weekend 2 celebrate a B-Day @ Shenandoah Brewing Company. http://www.shenandoahbrewing.com/  Beer Queso Dip, yummy too.  #Beer #VA #DC"
  >>>   user/name: "Randomness in DC"
  >>>   unixtime: 1257435213163
  >>>   user/id: 76429746
  >>>   user/screen_name: "RandomnessinDC"

  >>>   text: "@highballaustin: It's a pint glass giveaway at The Highball! Come in from 4:30-9:30, grab a pint of beer and you get to keep the glass"
  >>>   user/name: "Robert Renteria"
  >>>   unixtime: 1257435216245
  >>>   user/id: 20073092
  >>>   user/screen_name: "beldar3648"

  >>>   text: "CBO chews up GOP #hcr plan, spits out, makes bitter beer face (via @ezraklein) http://bit.ly/4u5RHU"
  >>>   user/name: "Chris Cassidy"
  >>>   unixtime: 1257435219914
  >>>   user/id: 20346380
  >>>   user/screen_name: "CitizenCassidy"

  >>>   text: "@diablomadman Beer is cheap here."
  >>>   user/name: "Craig Cutler"
  >>>   unixtime: 1257435230894
  >>>   user/id: 14101383
  >>>   user/screen_name: "elzoyd"

  >>>   text: "Choroba :&lt; Ale przynajmniej Super Paper Mario uko\u0144czy\u0142em..."
  >>>   user/name: "Pawe\u0142 Laskowski"
  >>>   unixtime: 1257435242067
